subject	predicate	object	datatype
radsav:RADSAV_0000002	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D001741>	_IRI
radsav:RADSAV_0000101	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D037841>	_IRI
radsav:RADSAV_0000089	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D044468>	_IRI
radsav:RADSAV_0000078	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D008603>	_IRI
radsav:RADSAV_0000067	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D007239>	_IRI
radsav:RADSAV_0000056	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D000091202>	_IRI
radsav:RADSAV_0000023	rdfs:seeAlso	evs:C16423	_IRI
radsav:RADSAV_0000012	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D000097849>	_IRI
radsav:RADSAV_0000001	rdfs:seeAlso	evs:C17600	_IRI
radsav:RADSAV_0000100	rdfs:seeAlso	evs:C53344	_IRI
radsav:RADSAV_0000088	rdfs:seeAlso	evs:C172127	_IRI
radsav:RADSAV_0000077	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D057182>	_IRI
radsav:RADSAV_0000055	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D015438>	_IRI
radsav:RADSAV_0000033	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D003430>	_IRI
radsav:RADSAV_0000011	rdfs:seeAlso	evs:C63474	_IRI
radsav:RADSAV_0000121	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D000084783>	_IRI
radsav:RADSAV_0000110	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D000071195>	_IRI
radsav:RADSAV_0000021	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D016022>	_IRI
radsav:RADSAV_0000131	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/C000711908>	_IRI
radsav:RADSAV_0000075	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D000092886>	_IRI
radsav:RADSAV_0000031	rdfs:seeAlso	evs:C16457	_IRI
radsav:RADSAV_0000130	rdfs:seeAlso	<http://purl.bioontology.org/ontology/MESH/D023361>	_IRI
